location;coord_X;coord_Y;neg_X;neg_Y
Location_1;887619.4948;1022985.86;-887619.4948;-1022985.86
Location_2;874062.8549;1055944.847;-874062.8549;-1055944.847
Location_3;866610.9411;1036082.719;-866610.9411;-1036082.719
Location_4;864728.6588;1016027.99;-864728.6588;-1016027.99
Location_5;859131.9544;1007378.159;-859131.9544;-1007378.159
Location_6;850775.4704;1011714.574;-850775.4704;-1011714.574
Location_7;842536.2377;1002126.596;-842536.2377;-1002126.596
Location_8;833388.9668;1107202.983;-833388.9668;-1107202.983
Location_9;824593.8052;996547.3481;-824593.8052;-996547.3481
Location_10;822858.6651;1070449.184;-822858.6651;-1070449.184
Location_11;817133.3451;996953.0587;-817133.3451;-996953.0587
Location_12;808269.8188;991091.3216;-808269.8188;-991091.3216
Location_13;808253.632;1073419.662;-808253.632;-1073419.662
Location_14;805826.7228;986856.7486;-805826.7228;-986856.7486
Location_15;801485.6605;1008614.241;-801485.6605;-1008614.241
Location_16;793340.8284;979601.2773;-793340.8284;-979601.2773
Location_17;792112.8034;1128963.521;-792112.8034;-1128963.521
Location_18;791856.7856;1034140.47;-791856.7856;-1034140.47
Location_19;787129.4217;989717.1783;-787129.4217;-989717.1783
Location_20;782394.7199;1006875.251;-782394.7199;-1006875.251
Location_21;782388.3092;984689.9258;-782388.3092;-984689.9258
Location_22;776037.3525;1085086.638;-776037.3525;-1085086.638
Location_23;775973.1381;976131.6042;-775973.1381;-976131.6042
Location_24;772853.3036;1128306.95;-772853.3036;-1128306.95
Location_25;772034.9388;969929.5738;-772034.9388;-969929.5738
Location_26;769983.338;1182359.387;-769983.338;-1182359.387
Location_27;769197.625;1052603.091;-769197.625;-1052603.091
Location_28;764272.9498;1023345.239;-764272.9498;-1023345.239
Location_29;763837.3859;1033207.113;-763837.3859;-1033207.113
Location_30;760899.1955;976367.0527;-760899.1955;-976367.0527
Location_31;756402.4425;990421.0156;-756402.4425;-990421.0156
Location_32;755321.4195;1165562.052;-755321.4195;-1165562.052
Location_33;750110.073;1004530.828;-750110.073;-1004530.828
Location_34;749308.4124;1025278.541;-749308.4124;-1025278.541
Location_35;748571.1571;963782.7107;-748571.1571;-963782.7107
Location_36;734791.9216;1025106.137;-734791.9216;-1025106.137
Location_37;734057.4989;1119372.939;-734057.4989;-1119372.939
Location_38;733954.8674;1012639.558;-733954.8674;-1012639.558
Location_39;728219.3096;1078577.751;-728219.3096;-1078577.751
Location_40;727739.4495;1048495.69;-727739.4495;-1048495.69
Location_41;727550.7358;1056265.938;-727550.7358;-1056265.938
Location_42;724532.1905;1033961.304;-724532.1905;-1033961.304
Location_43;724003.361;978870.3521;-724003.361;-978870.3521
Location_44;718218.7019;954124.8116;-718218.7019;-954124.8116
Location_45;717626.5584;1038429.978;-717626.5584;-1038429.978
Location_46;715665.2586;1151279.351;-715665.2586;-1151279.351
Location_47;703961.1315;1011547.1;-703961.1315;-1011547.1
Location_48;697603.5556;1038164.845;-697603.5556;-1038164.845
Location_49;694813.4547;1124180.801;-694813.4547;-1124180.801
Location_50;689216.0087;1043417.891;-689216.0087;-1043417.891
Location_51;688412.0349;974270.7748;-688412.0349;-974270.7748
Location_52;688128.0999;1056891.202;-688128.0999;-1056891.202
Location_53;683765.1493;1066528.583;-683765.1493;-1066528.583
Location_54;683482.2043;994576.9465;-683482.2043;-994576.9465
Location_55;680999.0401;979283.3232;-680999.0401;-979283.3232
Location_56;670182.5167;1014019.659;-670182.5167;-1014019.659
Location_57;669608.7895;1128943.083;-669608.7895;-1128943.083
Location_58;667214.5587;1107726.872;-667214.5587;-1107726.872
Location_59;651559.8386;993036.9253;-651559.8386;-993036.9253
Location_60;651022.7622;1151437.456;-651022.7622;-1151437.456
Location_61;646748.0889;1070452.062;-646748.0889;-1070452.062
Location_62;643169.7867;1194373.382;-643169.7867;-1194373.382
Location_63;641482.8921;1114236.165;-641482.8921;-1114236.165
